alias_id,namespace,alias,canonical_id,evidence,status
alias.target.o009-answer-markov-gambler-ruin-mastery,o009-source-id,o009-answer-markov-gambler-ruin-mastery,o009-answer-markov-gambler-ruin-mastery,labs/02-simulasi-rantai-markov.Rmd#o009-answer-markov-gambler-ruin-mastery,active
alias.target.o009-brownian-diagnostics-goals,o009-source-id,o009-brownian-diagnostics-goals,o009-brownian-diagnostics-goals,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-brownian-diagnostics-goals,active
alias.target.o009-brownian-exact-audit,o009-source-id,o009-brownian-exact-audit,o009-brownian-exact-audit,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-brownian-exact-audit,active
alias.target.o009-brownian-partition-order,o009-source-id,o009-brownian-partition-order,o009-brownian-partition-order,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-brownian-partition-order,active
alias.target.o009-concept-monte-carlo-lln,o009-source-id,o009-concept-monte-carlo-lln,o009-concept-monte-carlo-lln,labs/01-konvergensi-monte-carlo.Rmd#o009-concept-monte-carlo-lln,active
alias.target.o009-conditional-expectation-audit,o009-source-id,o009-conditional-expectation-audit,o009-conditional-expectation-audit,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-conditional-expectation-audit,active
alias.target.o009-conditional-martingale-goals,o009-source-id,o009-conditional-martingale-goals,o009-conditional-martingale-goals,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-conditional-martingale-goals,active
alias.target.o009-exercise-brownian-diagnostics,o009-source-id,o009-exercise-brownian-diagnostics,o009-exercise-brownian-diagnostics,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-exercise-brownian-diagnostics,active
alias.target.o009-exercise-conditional-martingale-audit,o009-source-id,o009-exercise-conditional-martingale-audit,o009-exercise-conditional-martingale-audit,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-exercise-conditional-martingale-audit,active
alias.target.o009-exercise-convergence-mc-estimation,o009-source-id,o009-exercise-convergence-mc-estimation,o009-exercise-convergence-mc-estimation,labs/01-konvergensi-monte-carlo.Rmd#o009-exercise-convergence-mc-estimation,active
alias.target.o009-exercise-convergence-mc-mastery,o009-source-id,o009-exercise-convergence-mc-mastery,o009-exercise-convergence-mc-mastery,labs/01-konvergensi-monte-carlo.Rmd#o009-exercise-convergence-mc-mastery,active
alias.target.o009-exercise-convergence-modes-estimation,o009-source-id,o009-exercise-convergence-modes-estimation,o009-exercise-convergence-modes-estimation,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-exercise-convergence-modes-estimation,active
alias.target.o009-exercise-convergence-modes-mastery,o009-source-id,o009-exercise-convergence-modes-mastery,o009-exercise-convergence-modes-mastery,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-exercise-convergence-modes-mastery,active
alias.target.o009-exercise-markov-gambler-ruin-estimation,o009-source-id,o009-exercise-markov-gambler-ruin-estimation,o009-exercise-markov-gambler-ruin-estimation,labs/02-simulasi-rantai-markov.Rmd#o009-exercise-markov-gambler-ruin-estimation,active
alias.target.o009-exercise-markov-gambler-ruin-mastery,o009-source-id,o009-exercise-markov-gambler-ruin-mastery,o009-exercise-markov-gambler-ruin-mastery,labs/02-simulasi-rantai-markov.Rmd#o009-exercise-markov-gambler-ruin-mastery,active
alias.target.o009-hint-brownian-diagnostics-1,o009-source-id,o009-hint-brownian-diagnostics-1,o009-hint-brownian-diagnostics-1,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-hint-brownian-diagnostics-1,active
alias.target.o009-hint-brownian-diagnostics-2,o009-source-id,o009-hint-brownian-diagnostics-2,o009-hint-brownian-diagnostics-2,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-hint-brownian-diagnostics-2,active
alias.target.o009-hint-brownian-diagnostics-3,o009-source-id,o009-hint-brownian-diagnostics-3,o009-hint-brownian-diagnostics-3,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-hint-brownian-diagnostics-3,active
alias.target.o009-hint-conditional-martingale-audit-1,o009-source-id,o009-hint-conditional-martingale-audit-1,o009-hint-conditional-martingale-audit-1,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-hint-conditional-martingale-audit-1,active
alias.target.o009-hint-conditional-martingale-audit-2,o009-source-id,o009-hint-conditional-martingale-audit-2,o009-hint-conditional-martingale-audit-2,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-hint-conditional-martingale-audit-2,active
alias.target.o009-hint-conditional-martingale-audit-3,o009-source-id,o009-hint-conditional-martingale-audit-3,o009-hint-conditional-martingale-audit-3,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-hint-conditional-martingale-audit-3,active
alias.target.o009-hint-convergence-mc-mastery-1,o009-source-id,o009-hint-convergence-mc-mastery-1,o009-hint-convergence-mc-mastery-1,labs/01-konvergensi-monte-carlo.Rmd#o009-hint-convergence-mc-mastery-1,active
alias.target.o009-hint-convergence-mc-mastery-2,o009-source-id,o009-hint-convergence-mc-mastery-2,o009-hint-convergence-mc-mastery-2,labs/01-konvergensi-monte-carlo.Rmd#o009-hint-convergence-mc-mastery-2,active
alias.target.o009-hint-convergence-mc-mastery-3,o009-source-id,o009-hint-convergence-mc-mastery-3,o009-hint-convergence-mc-mastery-3,labs/01-konvergensi-monte-carlo.Rmd#o009-hint-convergence-mc-mastery-3,active
alias.target.o009-hint-convergence-modes-1,o009-source-id,o009-hint-convergence-modes-1,o009-hint-convergence-modes-1,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-hint-convergence-modes-1,active
alias.target.o009-hint-convergence-modes-2,o009-source-id,o009-hint-convergence-modes-2,o009-hint-convergence-modes-2,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-hint-convergence-modes-2,active
alias.target.o009-hint-markov-gambler-ruin-mastery-1,o009-source-id,o009-hint-markov-gambler-ruin-mastery-1,o009-hint-markov-gambler-ruin-mastery-1,labs/02-simulasi-rantai-markov.Rmd#o009-hint-markov-gambler-ruin-mastery-1,active
alias.target.o009-hint-markov-gambler-ruin-mastery-2,o009-source-id,o009-hint-markov-gambler-ruin-mastery-2,o009-hint-markov-gambler-ruin-mastery-2,labs/02-simulasi-rantai-markov.Rmd#o009-hint-markov-gambler-ruin-mastery-2,active
alias.target.o009-hint-markov-gambler-ruin-mastery-3,o009-source-id,o009-hint-markov-gambler-ruin-mastery-3,o009-hint-markov-gambler-ruin-mastery-3,labs/02-simulasi-rantai-markov.Rmd#o009-hint-markov-gambler-ruin-mastery-3,active
alias.target.o009-lab-brownian-diagnostics,o009-source-id,o009-lab-brownian-diagnostics,o009-lab-brownian-diagnostics,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-lab-brownian-diagnostics,active
alias.target.o009-lab-conditional-martingale,o009-source-id,o009-lab-conditional-martingale,o009-lab-conditional-martingale,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-lab-conditional-martingale,active
alias.target.o009-lab-convergence-mc,o009-source-id,o009-lab-convergence-mc,o009-lab-convergence-mc,labs/01-konvergensi-monte-carlo.Rmd#o009-lab-convergence-mc,active
alias.target.o009-lab-convergence-mc-experiment,o009-source-id,o009-lab-convergence-mc-experiment,o009-lab-convergence-mc-experiment,labs/01-konvergensi-monte-carlo.Rmd#o009-lab-convergence-mc-experiment,active
alias.target.o009-lab-convergence-modes,o009-source-id,o009-lab-convergence-modes,o009-lab-convergence-modes,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-lab-convergence-modes,active
alias.target.o009-lab-convergence-modes-experiment,o009-source-id,o009-lab-convergence-modes-experiment,o009-lab-convergence-modes-experiment,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-lab-convergence-modes-experiment,active
alias.target.o009-lab-markov-gambler-ruin,o009-source-id,o009-lab-markov-gambler-ruin,o009-lab-markov-gambler-ruin,labs/02-simulasi-rantai-markov.Rmd#o009-lab-markov-gambler-ruin,active
alias.target.o009-lab-markov-gambler-ruin-experiment,o009-source-id,o009-lab-markov-gambler-ruin-experiment,o009-lab-markov-gambler-ruin-experiment,labs/02-simulasi-rantai-markov.Rmd#o009-lab-markov-gambler-ruin-experiment,active
alias.target.o009-mastery-convergence-mc,o009-source-id,o009-mastery-convergence-mc,o009-mastery-convergence-mc,labs/01-konvergensi-monte-carlo.Rmd#o009-mastery-convergence-mc,active
alias.target.o009-mastery-convergence-modes,o009-source-id,o009-mastery-convergence-modes,o009-mastery-convergence-modes,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-mastery-convergence-modes,active
alias.target.o009-mastery-convergence-modes-sequence,o009-source-id,o009-mastery-convergence-modes-sequence,o009-mastery-convergence-modes-sequence,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-mastery-convergence-modes-sequence,active
alias.target.o009-mastery-markov-gambler-ruin,o009-source-id,o009-mastery-markov-gambler-ruin,o009-mastery-markov-gambler-ruin,labs/02-simulasi-rantai-markov.Rmd#o009-mastery-markov-gambler-ruin,active
alias.target.o009-optional-stopping-diagnostic,o009-source-id,o009-optional-stopping-diagnostic,o009-optional-stopping-diagnostic,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-optional-stopping-diagnostic,active
alias.target.o009-program-brownian-diagnostics,r-chunk-label,o009_lab_brownian_diagnostics,o009-program-brownian-diagnostics,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd:chunk:o009_lab_brownian_diagnostics,active
alias.target.o009-program-conditional-martingale,r-chunk-label,o009_lab_conditional_martingale,o009-program-conditional-martingale,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd:chunk:o009_lab_conditional_martingale,active
alias.target.o009-program-convergence-mc,r-chunk-label,o009_lab_convergence_mc,o009-program-convergence-mc,labs/01-konvergensi-monte-carlo.Rmd:chunk:o009_lab_convergence_mc,active
alias.target.o009-program-convergence-modes,r-chunk-label,o009_lab_convergence_modes,o009-program-convergence-modes,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd:chunk:o009_lab_convergence_modes,active
alias.target.o009-program-markov-gambler-ruin,r-chunk-label,o009_lab_markov_gambler_ruin,o009-program-markov-gambler-ruin,labs/02-simulasi-rantai-markov.Rmd:chunk:o009_lab_markov_gambler_ruin,active
alias.target.o009-solution-brownian-diagnostics,o009-source-id,o009-solution-brownian-diagnostics,o009-solution-brownian-diagnostics,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-solution-brownian-diagnostics,active
alias.target.o009-solution-conditional-martingale-audit,o009-source-id,o009-solution-conditional-martingale-audit,o009-solution-conditional-martingale-audit,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-solution-conditional-martingale-audit,active
alias.target.o009-solution-convergence-mc-estimation,backend-derived-id,o009-solution-convergence-mc-estimation,o009-solution-convergence-mc-estimation,labs/01-konvergensi-monte-carlo.Rmd:L37-L85,active
alias.target.o009-solution-convergence-mc-mastery,o009-source-id,o009-solution-convergence-mc-mastery,o009-solution-convergence-mc-mastery,labs/01-konvergensi-monte-carlo.Rmd#o009-solution-convergence-mc-mastery,active
alias.target.o009-solution-convergence-modes,o009-source-id,o009-solution-convergence-modes,o009-solution-convergence-modes,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-solution-convergence-modes,active
alias.target.o009-solution-convergence-modes-estimation,backend-derived-id,o009-solution-convergence-modes-estimation,o009-solution-convergence-modes-estimation,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd:L53-L110,active
alias.target.o009-solution-markov-gambler-ruin-estimation,backend-derived-id,o009-solution-markov-gambler-ruin-estimation,o009-solution-markov-gambler-ruin-estimation,labs/02-simulasi-rantai-markov.Rmd:L40-L119,active
alias.target.o009-solution-markov-gambler-ruin-mastery,o009-source-id,o009-solution-markov-gambler-ruin-mastery,o009-solution-markov-gambler-ruin-mastery,labs/02-simulasi-rantai-markov.Rmd#o009-solution-markov-gambler-ruin-mastery,active
alias.unit.donor.zitkovic.markov-chain-simulation.section,zitkovic-source-locator,source/05-Markov-chains.Rmd#L601-L666,unit.donor.zitkovic.markov-chain-simulation.section,sha256:dcabe361eaaacaa537966f2bf8809dd8eac52e28392edc78d8e289c8c9be2bd8,active
alias.unit.donor.zitkovic.markov-gambler-ruin.exercise,zitkovic-source-locator,source/05-Markov-chains.Rmd#L607-L611,unit.donor.zitkovic.markov-gambler-ruin.exercise,sha256:a2bd8730f86dfa44f52bd2cb6512aceee25a5ae6a507168635938687163ef4f0,active
alias.unit.donor.zitkovic.markov-gambler-ruin.program.1,zitkovic-source-locator,source/05-Markov-chains.Rmd#L617-L661,unit.donor.zitkovic.markov-gambler-ruin.program.1,sha256:b0e3108640b8b3a581562c147b0600166c83e9161b00b86b56ca8cd73bca7eb8,active
alias.unit.donor.zitkovic.markov-gambler-ruin.solution,zitkovic-source-locator,source/05-Markov-chains.Rmd#L614-L666,unit.donor.zitkovic.markov-gambler-ruin.solution,sha256:18feae42f2011b5d425bef7173954518ab7c1265b6f6ad0d2921ba5aac19cae5,active
alias.unit.donor.zitkovic.monte-carlo-exp.exercise,zitkovic-source-locator,source/02-simulation.Rmd#L760-L764,unit.donor.zitkovic.monte-carlo-exp.exercise,sha256:0479cef5e919c714059db668f6d347287dd89a98003be4f15671a4ebcfb0a56a,active
alias.unit.donor.zitkovic.monte-carlo-exp.program.1,zitkovic-source-locator,source/02-simulation.Rmd#L770-L776,unit.donor.zitkovic.monte-carlo-exp.program.1,sha256:a54de8d4bddd35f1632fa013855e24a0f11ca33ba31d2794a424175ddc8ce595,active
alias.unit.donor.zitkovic.monte-carlo-exp.program.2,zitkovic-source-locator,source/02-simulation.Rmd#L783-L789,unit.donor.zitkovic.monte-carlo-exp.program.2,sha256:de0898b6b45640c6ce72366fc0b45c9b7790dc1ef0a1bfc48871e662e3f456d4,active
alias.unit.donor.zitkovic.monte-carlo-exp.program.3,zitkovic-source-locator,source/02-simulation.Rmd#L792-L798,unit.donor.zitkovic.monte-carlo-exp.program.3,sha256:02e245575611ff3e9acc62e6eda16e1690c30aa086766697f1635e23cac7bca4,active
alias.unit.donor.zitkovic.monte-carlo-exp.solution,zitkovic-source-locator,source/02-simulation.Rmd#L766-L832,unit.donor.zitkovic.monte-carlo-exp.solution,sha256:633da88e682cbd57e33c0d84eaef82846d8a611fba48c9b435985e6d64b021d4,active
