alias_id,namespace,alias,canonical_id,evidence,status
alias.authored.026a1ca7cf7926fb1813506d,o009-source-id,prerequisite.o009.distribution.weak-convergence,unit.o009.random.dist.convergence,source/mastery/01-konvergensi-01-02.md: prerequisite/theory binding,active
alias.authored.06e429d93676f156d513831d,o009-source-id,prerequisite.o009.martingales.optional-stopping,unit.o009.random.martingales.stop,source/mastery/06-martingal-01-02.md: prerequisite/theory binding,active
alias.authored.0e587dceca96dd9894c9be94,o009-source-id,prerequisite.o009.convergence.characteristic-functions,unit.o009.random.dist.convergence,source/mastery/03-konvergensi-05.md: prerequisite/theory binding,active
alias.authored.118b8c80ecc672f411b12030,o009-source-id,prerequisite.o009.convergence.slutsky-continuous-mapping,unit.o009.random.dist.convergence,source/mastery/03-konvergensi-05.md: prerequisite/theory binding,active
alias.authored.29812bf1aca7a3f54fb9acc6,o009-source-id,o009-theory-brown-standard,unit.o009.random.brown.standard,source/mastery/12-brown-03-04.md: prerequisite/theory binding,active
alias.authored.45de5320b7dad0909c66d187,o009-source-id,Random:brown/Standard.html,unit.o009.mastery.brown.02,source/mastery/11-brown-02.md: front matter source_alias,active
alias.authored.4ebbb41bf4dd393751734487,o009-source-id,prerequisite.o009.probability.convergence.modes,unit.o009.random.prob.convergence,source/mastery/01-konvergensi-01-02.md: prerequisite/theory binding,active
alias.authored.6dcfc360ce4bf93f59b53a42,o009-source-id,original-synthesis: area-conditioned-brownian-gaussian-regression,o009-mastery-brown-01,source/mastery/10-brown-01.md: front matter source_alias,active
alias.authored.718649b908dbdc6b35a9ab31,o009-source-id,o009-theory-random-brown-standard,unit.o009.random.brown.standard,source/mastery/10-brown-01.md: prerequisite/theory binding,active
alias.authored.72f5fc3720f80616587a498f,o009-source-id,original-synthesis: poissonized-random-sum-joint-limit,o009-mastery-convergence-05,source/mastery/03-konvergensi-05.md: front matter source_alias,active
alias.authored.913356fb352ed1235ba1f42c,o009-source-id,prerequisite.o009.martingales.definition,unit.o009.random.martingales.introduction,source/mastery/06-martingal-01-02.md: prerequisite/theory binding,active
alias.authored.a1c1775a5bcae5ce05fbd97c,o009-source-id,prerequisite.o009.probability.borel-cantelli.first,unit.o009.random.prob.convergence,source/mastery/01-konvergensi-01-02.md: prerequisite/theory binding,active
alias.authored.b224e15fc9a78747fba3c62a,o009-source-id,prerequisite.o009.ctmc.generator,unit.o009.quantecon.ctmc.generators,source/mastery/06-martingal-01-02.md: prerequisite/theory binding,active
alias.authored.bacd6569d13931f078c34ee3,o009-source-id,prerequisite.o009.conditional-expectation,unit.o009.random.expect.conditional2,source/mastery/06-martingal-01-02.md: prerequisite/theory binding,active
alias.authored.bb4e268335c0e41940405313,o009-source-id,prerequisite.o009.convergence.poisson-generating-functions,unit.o009.random.dist.convergence,source/mastery/03-konvergensi-05.md: prerequisite/theory binding,active
alias.authored.be2dea963df1968f4e07becb,o009-source-id,prerequisite.o009.distribution.skorohod-continuous-mapping,unit.o009.random.dist.convergence,source/mastery/01-konvergensi-01-02.md: prerequisite/theory binding,active
alias.authored.c5464a56da8bc851e1ef9583,o009-source-id,original-synthesis: brownian-grid-sign-changes,o009-mastery-brown-03,source/mastery/12-brown-03-04.md: front matter source_aliases,active
alias.authored.cad42dc798dfbd6fbeaa2eab,o009-source-id,theory.o009.dist.convergence.fundamental-limit-theorems,unit.o009.random.dist.convergence,source/mastery/02-konvergensi-03-04.md: prerequisite/theory binding,active
alias.authored.d53ff2ad48a7fbccedff60f4,o009-source-id,original-synthesis: brownian-quadratic-path-energy,o009-mastery-brown-03,source/mastery/12-brown-03-04.md: front matter source_aliases,active
alias.authored.de908bae6b47186ddf107eb1,o009-source-id,theory.o009.expect.uniform-integrability.convergence,unit.o009.random.expect.uniform,source/mastery/02-konvergensi-03-04.md: prerequisite/theory binding,active
alias.authored.e1e1f45559ee93130cd23882,o009-source-id,theory.o009.prob.convergence.random-variables,unit.o009.random.prob.convergence,source/mastery/02-konvergensi-03-04.md: prerequisite/theory binding,active
alias.authored.e4a0be929890b7d851dc7b61,o009-source-id,o009-theory-random-prob-convergence,unit.o009.random.prob.convergence,source/mastery/03-konvergensi-05.md: prerequisite/theory binding,active
alias.frontmatter.o009-theory-random-brown-standard,o009-source-id,o009-theory-random-brown-standard,unit.o009.random.brown.standard,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd:authoring.matched_theory_id,active
alias.frontmatter.o009-theory-random-conditional-martingale,o009-source-id,o009-theory-random-conditional-martingale,unit.o009.random.expect.conditional2,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd:authoring.matched_theory_id,active
alias.frontmatter.o009-theory-random-prob-convergence,o009-source-id,o009-theory-random-prob-convergence,unit.o009.random.prob.convergence,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd:authoring.matched_theory_id,active
alias.frontmatter.o009-unit-brownian-diagnostics-lab,o009-source-id,o009-unit-brownian-diagnostics-lab,o009-lab-brownian-diagnostics,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd:authoring.unit_id,active
alias.frontmatter.o009-unit-conditional-martingale-lab,o009-source-id,o009-unit-conditional-martingale-lab,o009-lab-conditional-martingale,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd:authoring.unit_id,active
alias.frontmatter.o009-unit-convergence-modes,o009-source-id,o009-unit-convergence-modes,o009-lab-convergence-modes,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd:authoring.unit_id,active
alias.reader.o009-results-brownian-diagnostics,o009-source-id,o009-results-brownian-diagnostics,o009-results-brownian-diagnostics,build/site/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.html#o009-results-brownian-diagnostics,active
alias.reader.o009-results-conditional-martingale,o009-source-id,o009-results-conditional-martingale,o009-results-conditional-martingale,build/site/labs/04-nilai-harapan-bersyarat-martingal.html#o009-results-conditional-martingale,active
alias.reader.o009-results-convergence-modes,o009-source-id,o009-results-convergence-modes,o009-results-convergence-modes,build/site/labs/03-konvergensi-mode-dan-lln-clt.html#o009-results-convergence-modes,active
alias.target.o009-answer-brownian-diagnostics,o009-source-id,o009-answer-brownian-diagnostics,o009-answer-brownian-diagnostics,source/labs/05-gerak-brown-donsker-variasi-kuadratik-dan-waktu-kena.Rmd#o009-answer-brownian-diagnostics,active
alias.target.o009-answer-conditional-martingale-audit,o009-source-id,o009-answer-conditional-martingale-audit,o009-answer-conditional-martingale-audit,source/labs/04-nilai-harapan-bersyarat-martingal.Rmd#o009-answer-conditional-martingale-audit,active
alias.target.o009-answer-convergence-mc-mastery,o009-source-id,o009-answer-convergence-mc-mastery,o009-answer-convergence-mc-mastery,labs/01-konvergensi-monte-carlo.Rmd#o009-answer-convergence-mc-mastery,active
alias.target.o009-answer-convergence-modes,o009-source-id,o009-answer-convergence-modes,o009-answer-convergence-modes,source/labs/03-konvergensi-mode-dan-lln-clt.Rmd#o009-answer-convergence-modes,active
