relation_id,relation_type,source_id,target_id,evidence,status
rel.answers.markov-mastery,answers,o009-answer-markov-gambler-ruin-mastery,o009-exercise-markov-gambler-ruin-mastery,explicit Markov mastery sequence,active
rel.answers.mastery,answers,o009-answer-convergence-mc-mastery,o009-exercise-convergence-mc-mastery,explicit mastery sequence,active
rel.assesses.estimation,assesses,o009-exercise-convergence-mc-estimation,outcome.o009.estimate-expectation-monte-carlo,estimation exercise prompt,active
rel.assesses.markov-discrete.com1,assesses,unit.o009.random.markov.discrete.com1,outcome.o009.solve-finite-discrete-chain-models,markov/Discrete.html#com1,active
rel.assesses.markov-discrete.com2,assesses,unit.o009.random.markov.discrete.com2,outcome.o009.analyze-discrete-potential-and-restriction,markov/Discrete.html#com2,active
rel.assesses.markov-discrete.com3,assesses,unit.o009.random.markov.discrete.com3,outcome.o009.solve-finite-discrete-chain-models,markov/Discrete.html#com3,active
rel.assesses.markov-discrete.com4,assesses,unit.o009.random.markov.discrete.com4,outcome.o009.analyze-discrete-potential-and-restriction,markov/Discrete.html#com4,active
rel.assesses.markov-discrete.dbl4,assesses,unit.o009.random.markov.discrete.dbl4,outcome.o009.solve-finite-discrete-chain-models,markov/Discrete.html#dbl4,active
rel.assesses.markov-discrete.dbl6,assesses,unit.o009.random.markov.discrete.dbl6,outcome.o009.solve-finite-discrete-chain-models,markov/Discrete.html#dbl6,active
rel.assesses.markov-discrete.ind3,assesses,unit.o009.random.markov.discrete.ind3,outcome.o009.compute-discrete-transition-laws,markov/Discrete.html#ind3,active
rel.assesses.markov-estimation,assesses,o009-exercise-markov-gambler-ruin-estimation,outcome.o009.simulate-absorbing-markov-chain,absorbing-chain estimation prompt,active
rel.assesses.markov-mastery.kernels,assesses,o009-exercise-markov-gambler-ruin-mastery,outcome.o009.construct-markov-kernels,first-step harmonic system,active
rel.assesses.martingales-stop.pattern-waiting,assesses,unit.o009.random.martingales.stop.pat3,outcome.o009.compute-random-time-expectations,martingales/Stop.html#pat3; analogous exercises #pat6 through #pat8,active
rel.assesses.mastery.evidence,assesses,o009-exercise-convergence-mc-mastery,outcome.o009.distinguish-evidence-proof,mastery item 3,active
rel.assesses.mastery.proof,assesses,o009-exercise-convergence-mc-mastery,outcome.o009.prove-convergence-in-probability,mastery items 2-3,active
rel.contains.donor.markov-section.exercise,contains,unit.donor.zitkovic.markov-chain-simulation.section,unit.donor.zitkovic.markov-gambler-ruin.exercise,complete exercise inside source/05-Markov-chains.Rmd L601-L666,active
rel.contains.donor.markov-section.solution,contains,unit.donor.zitkovic.markov-chain-simulation.section,unit.donor.zitkovic.markov-gambler-ruin.solution,complete solution inside source/05-Markov-chains.Rmd L601-L666,active
rel.contains.donor.markov-solution.program.1,contains,unit.donor.zitkovic.markov-gambler-ruin.solution,unit.donor.zitkovic.markov-gambler-ruin.program.1,R chunk inside the complete donor Markov solution block,active
rel.contains.donor.solution.program.1,contains,unit.donor.zitkovic.monte-carlo-exp.solution,unit.donor.zitkovic.monte-carlo-exp.program.1,R chunk 1 inside complete donor solution block,active
rel.contains.donor.solution.program.2,contains,unit.donor.zitkovic.monte-carlo-exp.solution,unit.donor.zitkovic.monte-carlo-exp.program.2,R chunk 2 inside complete donor solution block,active
rel.contains.donor.solution.program.3,contains,unit.donor.zitkovic.monte-carlo-exp.solution,unit.donor.zitkovic.monte-carlo-exp.program.3,R chunk 3 inside complete donor solution block,active
rel.contains.o009-lab-convergence-mc-experiment.o009-exercise-convergence-mc-estimation,contains,o009-lab-convergence-mc-experiment,o009-exercise-convergence-mc-estimation,labs/01-konvergensi-monte-carlo.Rmd:L32-L36,active
rel.contains.o009-lab-convergence-mc-experiment.o009-solution-convergence-mc-estimation,contains,o009-lab-convergence-mc-experiment,o009-solution-convergence-mc-estimation,labs/01-konvergensi-monte-carlo.Rmd:L37-L85,active
rel.contains.o009-lab-convergence-mc.o009-concept-monte-carlo-lln,contains,o009-lab-convergence-mc,o009-concept-monte-carlo-lln,labs/01-konvergensi-monte-carlo.Rmd:L86-L106,active
rel.contains.o009-lab-convergence-mc.o009-lab-convergence-mc-experiment,contains,o009-lab-convergence-mc,o009-lab-convergence-mc-experiment,labs/01-konvergensi-monte-carlo.Rmd:L30-L85,active
rel.contains.o009-lab-convergence-mc.o009-mastery-convergence-mc,contains,o009-lab-convergence-mc,o009-mastery-convergence-mc,labs/01-konvergensi-monte-carlo.Rmd:L107-L175,active
rel.contains.o009-lab-markov-gambler-ruin-experiment.o009-exercise-markov-gambler-ruin-estimation,contains,o009-lab-markov-gambler-ruin-experiment,o009-exercise-markov-gambler-ruin-estimation,labs/02-simulasi-rantai-markov.Rmd:L33-L39,active
rel.contains.o009-lab-markov-gambler-ruin-experiment.o009-solution-markov-gambler-ruin-estimation,contains,o009-lab-markov-gambler-ruin-experiment,o009-solution-markov-gambler-ruin-estimation,labs/02-simulasi-rantai-markov.Rmd:L40-L119,active
rel.contains.o009-lab-markov-gambler-ruin.o009-lab-markov-gambler-ruin-experiment,contains,o009-lab-markov-gambler-ruin,o009-lab-markov-gambler-ruin-experiment,labs/02-simulasi-rantai-markov.Rmd:L31-L119,active
rel.contains.o009-lab-markov-gambler-ruin.o009-mastery-markov-gambler-ruin,contains,o009-lab-markov-gambler-ruin,o009-mastery-markov-gambler-ruin,labs/02-simulasi-rantai-markov.Rmd:L120-L190,active
rel.contains.o009-mastery-convergence-mc.o009-answer-convergence-mc-mastery,contains,o009-mastery-convergence-mc,o009-answer-convergence-mc-mastery,labs/01-konvergensi-monte-carlo.Rmd:L138-L144,active
rel.contains.o009-mastery-convergence-mc.o009-exercise-convergence-mc-mastery,contains,o009-mastery-convergence-mc,o009-exercise-convergence-mc-mastery,labs/01-konvergensi-monte-carlo.Rmd:L109-L120,active
rel.contains.o009-mastery-convergence-mc.o009-hint-convergence-mc-mastery-1,contains,o009-mastery-convergence-mc,o009-hint-convergence-mc-mastery-1,labs/01-konvergensi-monte-carlo.Rmd:L122-L125,active
rel.contains.o009-mastery-convergence-mc.o009-hint-convergence-mc-mastery-2,contains,o009-mastery-convergence-mc,o009-hint-convergence-mc-mastery-2,labs/01-konvergensi-monte-carlo.Rmd:L127-L130,active
rel.contains.o009-mastery-convergence-mc.o009-hint-convergence-mc-mastery-3,contains,o009-mastery-convergence-mc,o009-hint-convergence-mc-mastery-3,labs/01-konvergensi-monte-carlo.Rmd:L132-L136,active
rel.contains.o009-mastery-convergence-mc.o009-solution-convergence-mc-mastery,contains,o009-mastery-convergence-mc,o009-solution-convergence-mc-mastery,labs/01-konvergensi-monte-carlo.Rmd:L146-L174,active
rel.contains.o009-mastery-markov-gambler-ruin.o009-answer-markov-gambler-ruin-mastery,contains,o009-mastery-markov-gambler-ruin,o009-answer-markov-gambler-ruin-mastery,labs/02-simulasi-rantai-markov.Rmd:L150-L155,active
rel.contains.o009-mastery-markov-gambler-ruin.o009-exercise-markov-gambler-ruin-mastery,contains,o009-mastery-markov-gambler-ruin,o009-exercise-markov-gambler-ruin-mastery,labs/02-simulasi-rantai-markov.Rmd:L122-L131,active
rel.contains.o009-mastery-markov-gambler-ruin.o009-hint-markov-gambler-ruin-mastery-1,contains,o009-mastery-markov-gambler-ruin,o009-hint-markov-gambler-ruin-mastery-1,labs/02-simulasi-rantai-markov.Rmd:L133-L136,active
rel.contains.o009-mastery-markov-gambler-ruin.o009-hint-markov-gambler-ruin-mastery-2,contains,o009-mastery-markov-gambler-ruin,o009-hint-markov-gambler-ruin-mastery-2,labs/02-simulasi-rantai-markov.Rmd:L138-L142,active
rel.contains.o009-mastery-markov-gambler-ruin.o009-hint-markov-gambler-ruin-mastery-3,contains,o009-mastery-markov-gambler-ruin,o009-hint-markov-gambler-ruin-mastery-3,labs/02-simulasi-rantai-markov.Rmd:L144-L148,active
rel.contains.o009-mastery-markov-gambler-ruin.o009-solution-markov-gambler-ruin-mastery,contains,o009-mastery-markov-gambler-ruin,o009-solution-markov-gambler-ruin-mastery,labs/02-simulasi-rantai-markov.Rmd:L157-L189,active
