relation_id,relation_type,source_id,target_id,evidence,status
rel.contains.o009-solution-convergence-mc-estimation.o009-program-convergence-mc,contains,o009-solution-convergence-mc-estimation,o009-program-convergence-mc,labs/01-konvergensi-monte-carlo.Rmd:L44-L77,active
rel.contains.o009-solution-markov-gambler-ruin-estimation.o009-program-markov-gambler-ruin,contains,o009-solution-markov-gambler-ruin-estimation,o009-program-markov-gambler-ruin,labs/02-simulasi-rantai-markov.Rmd:L47-L103,active
rel.contains.unit.o009.random.dist.convergence.bdr.unit.o009.random.dist.convergence.details-010,contains,unit.o009.random.dist.convergence.bdr,unit.o009.random.dist.convergence.details-010,dist/Convergence.html:dom-order:195,active
rel.contains.unit.o009.random.dist.convergence.bin1.unit.o009.random.dist.convergence.details-012,contains,unit.o009.random.dist.convergence.bin1,unit.o009.random.dist.convergence.details-012,dist/Convergence.html:dom-order:241,active
rel.contains.unit.o009.random.dist.convergence.div-006.unit.o009.random.dist.convergence.details-004,contains,unit.o009.random.dist.convergence.div-006,unit.o009.random.dist.convergence.details-004,dist/Convergence.html:dom-order:120,active
rel.contains.unit.o009.random.dist.convergence.div-007.unit.o009.random.dist.convergence.details-005,contains,unit.o009.random.dist.convergence.div-007,unit.o009.random.dist.convergence.details-005,dist/Convergence.html:dom-order:131,active
rel.contains.unit.o009.random.dist.convergence.div-009.unit.o009.random.dist.convergence.details-006,contains,unit.o009.random.dist.convergence.div-009,unit.o009.random.dist.convergence.details-006,dist/Convergence.html:dom-order:151,active
rel.contains.unit.o009.random.dist.convergence.div-012.unit.o009.random.dist.convergence.details-009,contains,unit.o009.random.dist.convergence.div-012,unit.o009.random.dist.convergence.details-009,dist/Convergence.html:dom-order:183,active
rel.contains.unit.o009.random.dist.convergence.div-014.unit.o009.random.dist.convergence.details-011,contains,unit.o009.random.dist.convergence.div-014,unit.o009.random.dist.convergence.details-011,dist/Convergence.html:dom-order:215,active
rel.contains.unit.o009.random.dist.convergence.div-019.unit.o009.random.dist.convergence.details-013,contains,unit.o009.random.dist.convergence.div-019,unit.o009.random.dist.convergence.details-013,dist/Convergence.html:dom-order:267,active
rel.contains.unit.o009.random.dist.convergence.div-023.unit.o009.random.dist.convergence.details-015,contains,unit.o009.random.dist.convergence.div-023,unit.o009.random.dist.convergence.details-015,dist/Convergence.html:dom-order:296,active
rel.contains.unit.o009.random.dist.convergence.div-024.unit.o009.random.dist.convergence.details-016,contains,unit.o009.random.dist.convergence.div-024,unit.o009.random.dist.convergence.details-016,dist/Convergence.html:dom-order:302,active
rel.contains.unit.o009.random.dist.convergence.div-025.unit.o009.random.dist.convergence.details-017,contains,unit.o009.random.dist.convergence.div-025,unit.o009.random.dist.convergence.details-017,dist/Convergence.html:dom-order:309,active
rel.contains.unit.o009.random.dist.convergence.div-027.unit.o009.random.dist.convergence.details-018,contains,unit.o009.random.dist.convergence.div-027,unit.o009.random.dist.convergence.details-018,dist/Convergence.html:dom-order:321,active
rel.contains.unit.o009.random.dist.convergence.div-028.unit.o009.random.dist.convergence.details-019,contains,unit.o009.random.dist.convergence.div-028,unit.o009.random.dist.convergence.details-019,dist/Convergence.html:dom-order:337,active
rel.contains.unit.o009.random.dist.convergence.div-031.unit.o009.random.dist.convergence.details-021,contains,unit.o009.random.dist.convergence.div-031,unit.o009.random.dist.convergence.details-021,dist/Convergence.html:dom-order:389,active
rel.contains.unit.o009.random.dist.convergence.div-032.unit.o009.random.dist.convergence.details-022,contains,unit.o009.random.dist.convergence.div-032,unit.o009.random.dist.convergence.details-022,dist/Convergence.html:dom-order:397,active
rel.contains.unit.o009.random.dist.convergence.div-034.unit.o009.random.dist.convergence.details-023,contains,unit.o009.random.dist.convergence.div-034,unit.o009.random.dist.convergence.details-023,dist/Convergence.html:dom-order:408,active
rel.contains.unit.o009.random.dist.convergence.div-036.unit.o009.random.dist.convergence.details-024,contains,unit.o009.random.dist.convergence.div-036,unit.o009.random.dist.convergence.details-024,dist/Convergence.html:dom-order:424,active
rel.contains.unit.o009.random.dist.convergence.geo.unit.o009.random.dist.convergence.details-014,contains,unit.o009.random.dist.convergence.geo,unit.o009.random.dist.convergence.details-014,dist/Convergence.html:dom-order:276,active
rel.contains.unit.o009.random.dist.convergence.pdf1.unit.o009.random.dist.convergence.details-003,contains,unit.o009.random.dist.convergence.pdf1,unit.o009.random.dist.convergence.details-003,dist/Convergence.html:dom-order:109,active
rel.contains.unit.o009.random.dist.convergence.pol.unit.o009.random.dist.convergence.details-020,contains,unit.o009.random.dist.convergence.pol,unit.o009.random.dist.convergence.details-020,dist/Convergence.html:dom-order:370,active
rel.contains.unit.o009.random.dist.convergence.pre1.unit.o009.random.dist.convergence.details-001,contains,unit.o009.random.dist.convergence.pre1,unit.o009.random.dist.convergence.details-001,dist/Convergence.html:dom-order:79,active
rel.contains.unit.o009.random.dist.convergence.sch.unit.o009.random.dist.convergence.details-025,contains,unit.o009.random.dist.convergence.sch,unit.o009.random.dist.convergence.details-025,dist/Convergence.html:dom-order:439,active
rel.contains.unit.o009.random.dist.convergence.sko1.unit.o009.random.dist.convergence.details-007,contains,unit.o009.random.dist.convergence.sko1,unit.o009.random.dist.convergence.details-007,dist/Convergence.html:dom-order:163,active
rel.contains.unit.o009.random.dist.convergence.sko2.unit.o009.random.dist.convergence.details-008,contains,unit.o009.random.dist.convergence.sko2,unit.o009.random.dist.convergence.details-008,dist/Convergence.html:dom-order:176,active
rel.contains.unit.o009.random.dist.convergence.uni.unit.o009.random.dist.convergence.details-002,contains,unit.o009.random.dist.convergence.uni,unit.o009.random.dist.convergence.details-002,dist/Convergence.html:dom-order:93,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.bdr,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.bdr,dist/Convergence.html:dom-order:193,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.bin1,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.bin1,dist/Convergence.html:dom-order:239,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.dfn1,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.dfn1,dist/Convergence.html:dom-order:51,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-002,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-002,dist/Convergence.html:dom-order:60,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-006,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-006,dist/Convergence.html:dom-order:118,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-007,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-007,dist/Convergence.html:dom-order:124,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-009,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-009,dist/Convergence.html:dom-order:149,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-012,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-012,dist/Convergence.html:dom-order:181,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-014,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-014,dist/Convergence.html:dom-order:213,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-017,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-017,dist/Convergence.html:dom-order:251,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-018,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-018,dist/Convergence.html:dom-order:259,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-019,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-019,dist/Convergence.html:dom-order:265,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-021,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-021,dist/Convergence.html:dom-order:284,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-022,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-022,dist/Convergence.html:dom-order:287,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-023,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-023,dist/Convergence.html:dom-order:294,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-024,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-024,dist/Convergence.html:dom-order:300,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-025,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-025,dist/Convergence.html:dom-order:307,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-026,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-026,dist/Convergence.html:dom-order:313,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-027,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-027,dist/Convergence.html:dom-order:319,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-028,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-028,dist/Convergence.html:dom-order:332,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-029,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-029,dist/Convergence.html:dom-order:347,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-031,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-031,dist/Convergence.html:dom-order:381,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-032,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-032,dist/Convergence.html:dom-order:395,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-033,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-033,dist/Convergence.html:dom-order:402,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-034,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-034,dist/Convergence.html:dom-order:406,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-035,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-035,dist/Convergence.html:dom-order:415,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-036,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-036,dist/Convergence.html:dom-order:422,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.div-037,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.div-037,dist/Convergence.html:dom-order:428,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.geo,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.geo,dist/Convergence.html:dom-order:274,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h2-001,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h2-001,dist/Convergence.html:dom-order:44,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h3-001,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h3-001,dist/Convergence.html:dom-order:46,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h3-002,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h3-002,dist/Convergence.html:dom-order:201,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h3-003,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h3-003,dist/Convergence.html:dom-order:357,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-001,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-001,dist/Convergence.html:dom-order:47,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-002,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-002,dist/Convergence.html:dom-order:75,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-003,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-003,dist/Convergence.html:dom-order:101,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-004,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-004,dist/Convergence.html:dom-order:116,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-007,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-007,dist/Convergence.html:dom-order:234,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-008,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-008,dist/Convergence.html:dom-order:262,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-009,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-009,dist/Convergence.html:dom-order:290,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-010,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-010,dist/Convergence.html:dom-order:316,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-011,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-011,dist/Convergence.html:dom-order:328,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-012,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-012,dist/Convergence.html:dom-order:342,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-013,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-013,dist/Convergence.html:dom-order:360,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-014,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-014,dist/Convergence.html:dom-order:404,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-015,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-015,dist/Convergence.html:dom-order:412,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-016,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-016,dist/Convergence.html:dom-order:433,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.h4-017,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.h4-017,dist/Convergence.html:dom-order:444,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.hyp,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.hyp,dist/Convergence.html:dom-order:204,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.hyp2,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.hyp2,dist/Convergence.html:dom-order:223,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.pdf1,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.pdf1,dist/Convergence.html:dom-order:104,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.pol,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.pol,dist/Convergence.html:dom-order:362,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.pre1,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.pre1,dist/Convergence.html:dom-order:77,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.sch,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.sch,dist/Convergence.html:dom-order:437,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.sko,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.sko,dist/Convergence.html:dom-order:154,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.sko1,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.sko1,dist/Convergence.html:dom-order:158,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.sko2,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.sko2,dist/Convergence.html:dom-order:174,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.sum,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.sum,dist/Convergence.html:dom-order:141,active
rel.contains.unit.o009.random.dist.convergence.unit.o009.random.dist.convergence.uni,contains,unit.o009.random.dist.convergence,unit.o009.random.dist.convergence.uni,dist/Convergence.html:dom-order:88,active
rel.contains.unit.o009.random.expect.conditional2.bay.unit.o009.random.expect.conditional2.details-013,contains,unit.o009.random.expect.conditional2.bay,unit.o009.random.expect.conditional2.details-013,expect/Conditional2.html:dom-order:261,active
rel.contains.unit.o009.random.expect.conditional2.cor.unit.o009.random.expect.conditional2.details-017,contains,unit.o009.random.expect.conditional2.cor,unit.o009.random.expect.conditional2.details-017,expect/Conditional2.html:dom-order:299,active
rel.contains.unit.o009.random.expect.conditional2.cov2.unit.o009.random.expect.conditional2.details-022,contains,unit.o009.random.expect.conditional2.cov2,unit.o009.random.expect.conditional2.details-022,expect/Conditional2.html:dom-order:363,active
rel.contains.unit.o009.random.expect.conditional2.dfn2.unit.o009.random.expect.conditional2.details-002,contains,unit.o009.random.expect.conditional2.dfn2,unit.o009.random.expect.conditional2.details-002,expect/Conditional2.html:dom-order:94,active
rel.contains.unit.o009.random.expect.conditional2.dfn3.unit.o009.random.expect.conditional2.details-010,contains,unit.o009.random.expect.conditional2.dfn3,unit.o009.random.expect.conditional2.details-010,expect/Conditional2.html:dom-order:207,active
rel.contains.unit.o009.random.expect.conditional2.div-002.unit.o009.random.expect.conditional2.details-001,contains,unit.o009.random.expect.conditional2.div-002,unit.o009.random.expect.conditional2.details-001,expect/Conditional2.html:dom-order:81,active
rel.contains.unit.o009.random.expect.conditional2.div-019.unit.o009.random.expect.conditional2.details-016,contains,unit.o009.random.expect.conditional2.div-019,unit.o009.random.expect.conditional2.details-016,expect/Conditional2.html:dom-order:289,active
rel.contains.unit.o009.random.expect.conditional2.div-021.unit.o009.random.expect.conditional2.details-018,contains,unit.o009.random.expect.conditional2.div-021,unit.o009.random.expect.conditional2.details-018,expect/Conditional2.html:dom-order:310,active
rel.contains.unit.o009.random.expect.conditional2.div-029.unit.o009.random.expect.conditional2.details-023,contains,unit.o009.random.expect.conditional2.div-029,unit.o009.random.expect.conditional2.details-023,expect/Conditional2.html:dom-order:371,active
rel.contains.unit.o009.random.expect.conditional2.div-030.unit.o009.random.expect.conditional2.details-024,contains,unit.o009.random.expect.conditional2.div-030,unit.o009.random.expect.conditional2.details-024,expect/Conditional2.html:dom-order:378,active
rel.contains.unit.o009.random.expect.conditional2.ex1.unit.o009.random.expect.conditional2.details-014,contains,unit.o009.random.expect.conditional2.ex1,unit.o009.random.expect.conditional2.details-014,expect/Conditional2.html:dom-order:272,active
rel.contains.unit.o009.random.expect.conditional2.ex2.unit.o009.random.expect.conditional2.details-015,contains,unit.o009.random.expect.conditional2.ex2,unit.o009.random.expect.conditional2.details-015,expect/Conditional2.html:dom-order:279,active
rel.contains.unit.o009.random.expect.conditional2.fac.unit.o009.random.expect.conditional2.details-006,contains,unit.o009.random.expect.conditional2.fac,unit.o009.random.expect.conditional2.details-006,expect/Conditional2.html:dom-order:144,active
