id,parent_id,order,path,source_local_id,translation_state,rights_id
assessment.o009.d30.cumulative.form-a,course.o009.d30,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.01,assessment.o009.d30.cumulative.form-a.section.04,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.01,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.01.answer,assessment.o009.d30.cumulative.form-a.problem.01,4,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.01.answer,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.01.hint.01,assessment.o009.d30.cumulative.form-a.problem.01,2,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.01.hint.01,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.01.hint.02,assessment.o009.d30.cumulative.form-a.problem.01,3,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.01.hint.02,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.01.rubric,assessment.o009.d30.cumulative.form-a.problem.01,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.01.rubric,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.01.solution,assessment.o009.d30.cumulative.form-a.problem.01,5,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.01.solution,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.02,assessment.o009.d30.cumulative.form-a.section.04,2,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.02,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.02.answer,assessment.o009.d30.cumulative.form-a.problem.02,4,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.02.answer,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.02.hint.01,assessment.o009.d30.cumulative.form-a.problem.02,2,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.02.hint.01,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.02.hint.02,assessment.o009.d30.cumulative.form-a.problem.02,3,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.02.hint.02,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.02.rubric,assessment.o009.d30.cumulative.form-a.problem.02,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.02.rubric,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.02.solution,assessment.o009.d30.cumulative.form-a.problem.02,5,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.02.solution,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.03,assessment.o009.d30.cumulative.form-a.section.05,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.03,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.03.answer,assessment.o009.d30.cumulative.form-a.problem.03,4,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.03.answer,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.03.hint.01,assessment.o009.d30.cumulative.form-a.problem.03,2,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.03.hint.01,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.03.hint.02,assessment.o009.d30.cumulative.form-a.problem.03,3,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.03.hint.02,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.03.rubric,assessment.o009.d30.cumulative.form-a.problem.03,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.03.rubric,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.03.solution,assessment.o009.d30.cumulative.form-a.problem.03,5,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.03.solution,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.04,assessment.o009.d30.cumulative.form-a.section.06,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.04,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.04.answer,assessment.o009.d30.cumulative.form-a.problem.04,4,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.04.answer,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.04.hint.01,assessment.o009.d30.cumulative.form-a.problem.04,2,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.04.hint.01,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.04.hint.02,assessment.o009.d30.cumulative.form-a.problem.04,3,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.04.hint.02,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.04.rubric,assessment.o009.d30.cumulative.form-a.problem.04,1,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.04.rubric,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.04.solution,assessment.o009.d30.cumulative.form-a.problem.04,5,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.04.solution,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.05,assessment.o009.d30.cumulative.form-a.section.06,2,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.05,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
assessment.o009.d30.cumulative.form-a.problem.05.answer,assessment.o009.d30.cumulative.form-a.problem.05,4,source/assessments/01-formulir-kumulatif-a.md,assessment.o009.d30.cumulative.form-a.problem.05.answer,authored,rights.o009.assessment.cumulative.form-a.cc-by-4.0
